"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC","POPR_RA","POPR_RE","TFG","TMG","RMM","TMM","TMM_P","TMN","TMN_P","TMN_T","TMI"
2015,"UF","12",803513,733559,368324,365235,247230,393027,93302,121300,197361,46574,0.718,0.663,0.634,0.694,16980,0,9176,305,4274,4458,3520,2653,1367,371,26,4,16669,19,24,30,24.84,6.86,637,2451,5197,6063,947,1355,988,285,51,12310,840,3542,13141,4897,12083,16639,281,6,69,191,1885,12659,1034,2151,12659,1034,38,39,40,38.66,2.48,179,5716,1578,1364,4755,4045,12935,10312,6631,13285,616,20,2750,517,5110,914,1647,138,430,281,20,1469,15998,177,482,43,252,8633,8345,991,285,51,12315,840,1296,14377,1091,2935,3250,3575,3226.36,557.39,1010,12058,2088,143,15472,9.26,0.78,184,13489,3517,0,0,507,3010,176,521,849,451,1013,2126,1387,228,0,177,125,52,114,1,38,0,0,109,12,11,1,2,0,8,0,11,10,0,1,1,3,1,2,377422,100368,86.04,4.38,64.78,5.57,5.57,10.42,7.36,3.06,17.14
2015,"MUNICIPIO","1200013",13869,12538,6592,5946,4292,6494,1752,2080,3142,724,NA,0.604,NA,NA,217,0,84,2,51,65,40,43,12,4,0,0,215,20,23,30,24.68,6.44,3,22,83,83,4,16,21,8,1,142,0,28,186,69,148,215,2,0,1,7,15,184,6,23,184,6,38,39,40,38.58,2.45,0,55,8,12,73,195,22,130,87,141,7,0,36,4,50,15,18,1,5,2,0,13,217,0,0,0,0,109,108,23,8,1,145,0,11,190,16,2980,3240,3575,3268.87,509.53,13,161,32,5,191,9.04,0.88,2,161,56,0,0,10,46,1,7,18,6,14,41,15,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4108,NA,69.06,4.04,0,0,0,4.61,0,4.61,9.22
2015,"MUNICIPIO","1200054",6738,6072,3091,2981,2189,3131,752,1098,1541,342,NA,0.588,NA,NA,238,0,164,12,55,64,47,36,17,7,0,0,226,19,23,29.75,24.38,7.1,29,81,70,34,3,13,6,1,0,140,79,41,190,64,174,235,2,0,2,2,26,184,15,30,184,15,38,39,40,38.56,2.54,0,104,24,16,51,148,90,173,65,219,2,0,39,9,91,30,15,0,2,2,0,27,147,63,7,1,20,123,115,6,1,0,140,79,10,213,12,2802.5,3200,3500,3191.43,555.84,21,183,20,2,205,9.16,0.7,2,222,31,0,0,4,27,1,1,10,7,8,21,10,0,0,4,2,2,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4411,NA,154.45,4.6,0,0,0,16.81,8.4,8.4,29.41
2015,"MUNICIPIO","1200104",23849,21398,11037,10361,6829,11526,3043,3319,5634,1408,NA,0.614,NA,NA,531,0,422,11,151,135,112,66,40,13,2,1,519,19,23,29,24.4,7,14,77,224,140,29,34,33,9,0,459,14,125,398,176,355,526,4,0,5,3,57,412,35,65,412,35,38,39,40,38.75,2.48,2,129,48,67,215,77,454,260,270,469,22,0,129,4,194,10,71,5,17,4,0,47,523,1,6,0,0,272,259,33,9,0,459,14,41,453,37,2970,3300,3600,3260.43,578.91,34,397,70,4,508,8.95,0.71,1,500,115,0,0,17,98,0,13,38,18,29,69,45,6,0,8,6,2,6,1,1,0,0,5,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,12950,5800,94.25,4.82,188.32,17.75,17.75,15.07,11.3,3.77,26.37
2015,"MUNICIPIO","1200138",9339,8471,4569,3902,2918,4273,1280,1351,2012,539,NA,0.589,NA,NA,248,0,110,4,69,74,36,40,20,5,0,0,244,19,23,30,24.5,6.83,7,30,103,87,12,6,10,7,0,194,0,48,195,65,183,242,6,0,0,4,27,197,9,31,197,9,38,39,40,38.68,2.15,0,70,16,22,66,248,0,156,92,168,15,2,38,7,73,10,15,3,10,6,2,19,248,0,0,0,0,125,123,10,7,0,194,0,11,224,13,2918.75,3220,3505,3236.13,477.42,17,179,32,1,236,9.17,0.59,2,168,44,0,0,12,32,1,6,5,3,17,30,14,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3988,NA,123.26,4.71,0,0,0,4.03,4.03,0,8.06
2015,"MUNICIPIO","1200179",10498,8798,4655,4143,3202,4349,1247,1526,2079,538,NA,0.575,NA,NA,219,0,101,4,56,70,41,24,20,4,0,0,215,19,23,28.5,24.28,6.83,8,31,81,72,13,10,13,4,0,171,0,39,178,56,163,219,0,0,0,0,20,177,11,20,177,11,38,39,40,38.97,1.97,3,72,19,22,50,217,2,139,80,146,14,0,27,3,65,13,16,2,12,0,0,14,216,0,2,1,0,124,95,13,4,0,171,0,12,191,16,2990,3280,3608,3303.73,496.96,13,160,33,0,205,9.17,0.57,4,146,53,0,0,11,42,1,10,12,4,15,38,15,3,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3837,NA,105.34,5.05,0,0,0,9.13,0,9.13,9.13
2015,"MUNICIPIO","1200203",81519,78507,39220,39287,28136,40952,9419,13885,20544,4858,NA,0.664,NA,NA,1839,0,1286,32,466,481,379,302,139,38,2,0,1807,19,24,30,24.79,6.84,70,246,469,711,82,172,102,9,3,1312,28,416,1378,686,1153,1785,42,1,9,24,227,1328,135,261,1328,135,38,39,40,38.68,2.72,13,833,153,118,558,31,1808,1063,760,1723,45,1,436,95,536,119,228,13,25,42,1,223,1766,4,55,2,12,909,930,102,9,3,1312,28,144,1548,112,2923.75,3250,3561.25,3213.27,569.81,115,1266,239,17,1751,9.5,0.83,3,1791,373,0,0,47,326,18,59,122,38,89,220,153,23,0,15,8,7,5,0,0,0,0,14,1,2,0,0,0,2,0,2,2,0,0,0,1,0,1,40157,NA,89.52,4.58,108.75,9.74,9.74,8.16,4.35,3.81,10.88
2015,"MUNICIPIO","1200252",16731,15100,7626,7474,4797,8179,2124,2376,4119,979,NA,0.653,NA,NA,279,0,233,4,83,71,48,43,24,6,0,0,275,19,23,30,24.58,6.85,4,29,119,86,21,16,18,2,0,249,3,40,235,94,185,276,2,1,0,1,30,231,13,32,231,13,38,39,40,38.64,2.33,0,70,41,44,89,277,2,157,122,249,14,0,71,3,102,8,34,4,10,2,0,26,276,1,2,0,0,134,145,18,2,0,249,3,12,251,16,2950,3250,3555,3239.93,534.51,14,220,34,1,270,8.99,0.51,2,266,65,0,0,8,57,4,7,17,7,22,42,23,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10314,NA,67.73,3.89,0,0,0,3.58,3.58,0,7.17
2015,"MUNICIPIO","1200302",32385,32412,16716,15696,13382,15673,3357,6591,7482,1623,NA,0.539,NA,NA,772,0,528,25,234,218,131,98,46,16,3,0,746,18,22,28,23.68,6.91,73,192,239,216,11,18,34,8,6,585,114,280,480,75,697,754,13,0,2,8,77,503,66,87,503,66,38,39,40,38.9,2.43,30,381,83,42,104,144,628,609,160,711,28,0,26,14,360,25,95,10,16,13,0,77,649,7,60,9,47,387,385,34,8,6,585,114,51,603,61,3000,3280,3617.5,3268.88,555.66,41,484,109,6,648,9.8,0.73,8,739,150,0,0,26,124,4,22,28,23,47,90,60,10,0,14,11,3,12,0,4,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5564,NA,103.18,4.63,0,0,0,18.13,14.25,3.89,33.68
2015,"MUNICIPIO","1200328",7509,6577,3412,3165,3246,2937,394,1609,1366,190,NA,0.469,NA,NA,273,0,95,13,89,73,43,30,19,6,0,0,260,18,21,27,23.16,6.99,12,120,88,42,1,2,12,8,0,83,156,58,211,36,237,270,2,0,1,3,26,187,27,30,187,27,38,39,40,38.98,2.67,4,94,14,13,45,67,206,250,21,256,5,0,20,6,159,7,8,1,4,2,0,28,138,0,93,10,5,128,145,12,8,0,83,156,21,197,22,2908.75,3100,3505,3180.35,621.43,18,150,36,2,123,9.24,1.15,4,259,14,0,0,2,12,1,1,2,1,7,10,3,2,0,3,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3086,NA,199.85,1.86,0,0,0,10.99,10.99,0,14.65
2015,"MUNICIPIO","1200336",17173,15206,7836,7370,5892,7555,1759,2867,3647,856,NA,0.625,NA,NA,395,0,307,5,103,115,75,64,27,6,0,0,390,19,23,29,24.51,6.47,10,59,122,159,9,24,11,3,0,306,22,88,300,120,275,376,4,0,0,3,36,297,35,39,297,35,38,39,40,39,2.15,3,207,29,45,84,300,95,257,137,367,11,0,81,21,164,14,44,4,5,4,0,35,380,0,15,0,0,205,190,11,3,0,306,22,23,333,24,2983.75,3250,3536.25,3252.67,496.89,23,287,44,0,377,9.63,0.57,0,376,75,0,0,9,66,2,17,14,8,25,47,28,3,0,4,3,1,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10585,NA,108.31,4.37,0,0,0,10.13,7.59,2.53,22.78
2015,"MUNICIPIO","1200344",8641,7981,4255,3726,3208,3889,884,1503,1827,396,NA,0.551,NA,NA,266,0,187,5,81,76,46,30,19,8,1,0,261,18.25,22,28,24.06,7.12,44,88,76,42,2,5,20,11,1,175,40,63,200,53,213,259,6,1,0,8,29,209,12,38,209,12,38,39,40,38.65,2.79,4,83,49,35,63,134,132,204,61,227,11,0,37,3,125,1,20,1,8,6,0,31,220,1,17,5,23,119,147,20,11,1,176,40,32,216,16,2800,3115,3540,3135.59,595.73,36,174,38,2,252,9.24,0.77,2,237,39,0,0,9,30,3,1,8,7,11,23,16,1,0,3,3,0,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5726,NA,145.59,4.51,0,0,0,11.28,11.28,0,30.08
2015,"MUNICIPIO","1200351",16895,14227,7463,6764,6716,6527,984,3269,3043,452,NA,0.501,NA,NA,445,0,286,12,127,110,90,54,32,18,1,1,432,19,23,29,24.59,7.2,57,85,140,136,6,8,40,10,0,280,88,71,369,130,315,439,3,1,1,4,44,325,24,50,325,24,38,39,40,38.74,2.47,23,176,81,45,88,168,277,373,70,437,5,0,97,12,198,13,23,1,3,3,0,49,322,1,77,2,43,230,215,40,10,0,280,88,33,381,30,2950,3200,3500,3193.5,503.09,35,305,40,2,329,9.23,0.68,0,431,29,0,0,3,26,3,3,8,5,7,15,14,4,0,3,2,1,4,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3041,NA,146.24,1.72,224.72,32.86,32.86,6.74,4.49,2.25,15.73
2015,"MUNICIPIO","1200385",18159,17209,8999,8210,5962,8647,2600,2945,4142,1123,NA,0.622,NA,NA,350,0,163,10,98,89,72,48,28,5,0,0,340,18,23,29,24.22,6.83,10,49,124,141,14,11,18,7,1,274,1,57,286,91,259,348,2,0,1,2,38,269,20,41,269,20,38,39,40,38.7,2.28,1,86,25,28,101,300,50,231,119,231,12,0,46,11,104,9,24,1,11,2,0,26,348,0,1,1,0,180,170,18,7,1,274,1,20,309,21,3000,3280,3525.75,3268.77,504.84,19,254,47,6,329,9.16,0.85,6,256,73,0,0,10,63,5,11,15,7,25,44,29,5,0,5,3,2,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7501,11020,84.5,4.02,0,0,0,14.29,8.57,5.71,22.86
2015,"MUNICIPIO","1200393",10759,9176,4794,4382,4506,3986,684,2229,1833,320,NA,0.532,NA,NA,262,0,202,4,83,58,55,40,15,4,3,0,258,18,23,29,24.19,7.09,14,80,85,73,4,5,19,3,0,197,14,33,228,72,190,259,3,0,1,6,23,194,29,30,194,29,38,39,40,39.05,2.6,2,121,29,26,66,133,129,209,53,256,6,0,52,8,131,12,15,1,4,3,0,27,135,98,23,0,6,135,127,19,3,0,197,14,17,229,13,2900,3220,3520,3172.1,569,21,190,29,4,232,9.44,0.97,2,258,22,0,0,0,22,1,4,4,1,12,13,9,0,0,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3939,NA,142.94,2.04,0,0,0,7.63,7.63,0,15.27
2015,"MUNICIPIO","1200401",370550,336038,163592,172446,98123,192831,45084,48433,100181,23832,NA,0.727,NA,NA,6965,0,2493,86,1475,1763,1606,1226,651,151,7,0,6879,20,25,31,25.58,6.75,48,464,1890,2972,635,879,515,149,36,4781,19,1300,5565,2080,4885,6836,129,1,30,85,844,5235,250,960,5235,250,37,39,40,38.4,2.4,55,1743,552,512,2254,47,6918,3628,3337,4572,293,13,1061,134,1579,244,668,53,223,129,13,513,6957,0,6,2,0,3561,3402,516,149,36,4781,19,640,5913,406,2910,3235,3555,3203.75,563.33,386,5014,836,52,6468,9.15,0.68,117,4436,1731,0,0,249,1482,102,279,394,241,466,1030,701,119,0,68,46,22,33,0,19,0,0,41,0,5,0,1,0,4,0,5,5,0,0,0,2,0,1,202308,83548,69.52,4.67,71.79,4.99,4.99,9.76,6.6,3.16,14.5
2015,"MUNICIPIO","1200427",16974,14389,7479,6910,6188,6842,1359,3042,3255,613,NA,0.567,NA,NA,396,0,292,5,112,110,75,58,28,7,1,0,391,19,23,29,24.32,6.67,23,70,113,158,4,17,12,6,0,322,5,95,291,108,288,388,7,0,4,3,37,305,36,44,305,36,38,39,40,38.85,2.65,10,173,35,29,100,332,64,270,125,377,9,2,79,10,178,19,41,1,5,7,2,38,365,0,31,0,0,204,192,12,6,0,322,5,24,349,23,2900,3200,3563.75,3185.16,559.94,34,287,46,4,360,9.53,0.87,0,393,33,0,0,3,30,3,5,6,3,13,21,12,2,0,3,1,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5368,NA,121.66,1.94,0,0,0,7.58,2.53,5.05,15.15
2015,"MUNICIPIO","1200435",5809,4691,2406,2285,2167,2203,321,1089,1034,162,NA,0.517,NA,NA,150,0,64,5,35,36,32,26,8,5,1,1,143,19,24,31,25.2,7.82,31,45,51,11,0,3,5,0,0,31,109,51,99,29,121,146,4,0,2,1,22,105,11,25,105,11,38,39,40,38.45,2.94,0,69,28,7,18,41,109,136,14,135,1,0,19,1,76,8,2,0,1,4,0,19,89,0,20,1,40,74,76,5,0,0,31,109,16,122,6,2900,3033,3336.25,3059.67,529.99,13,107,9,1,92,9.06,0.62,3,132,26,0,0,1,25,4,3,1,5,12,14,12,4,0,2,0,2,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2495,NA,145.07,4.48,0,0,0,13.33,0,13.33,73.33
2015,"MUNICIPIO","1200450",21182,20179,10328,9851,6604,10487,3088,3231,5171,1449,NA,0.64,NA,NA,443,0,193,11,120,110,92,66,36,6,2,0,432,19,24,29,24.51,6.87,5,46,188,142,30,26,19,13,0,335,3,76,357,110,333,429,13,0,2,5,39,356,18,46,356,18,38,39,40,38.72,2.19,4,128,46,41,92,406,37,275,167,310,14,0,60,4,132,20,48,2,10,13,0,28,440,0,3,0,0,234,209,19,13,0,336,3,45,374,24,2910,3235,3559,3185.61,586.57,26,338,40,3,423,9.15,0.63,6,295,110,0,0,16,94,2,12,33,15,32,65,44,10,0,3,3,0,3,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,7661,NA,85.67,5.19,225.73,19.34,19.34,6.77,6.77,0,13.54
2015,"MUNICIPIO","1200500",41750,38029,19739,18290,13239,20026,4764,6386,9636,2268,NA,0.603,NA,NA,847,0,670,19,229,238,157,129,61,12,2,0,828,19,23,29,24.28,6.78,60,209,296,225,17,28,25,5,1,757,33,131,711,259,588,829,10,1,3,6,79,665,68,89,665,68,38,39,40,39.04,2.33,10,345,34,113,239,180,667,533,314,736,25,2,188,8,344,11,95,10,14,10,2,70,826,0,12,1,8,422,425,25,5,1,757,33,46,724,71,2950,3265,3600,3258.09,557.54,53,639,100,5,794,9.14,0.62,5,780,170,0,0,26,144,7,22,47,20,48,108,62,9,0,4,3,1,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14618,NA,87.9,4.07,0,0,0,4.72,3.54,1.18,9.45
2015,"MUNICIPIO","1200609",38819,35590,18353,17237,15047,16823,3720,7362,8084,1791,NA,0.539,NA,NA,1165,0,961,26,354,322,215,132,77,38,0,1,1138,18,23,28,23.99,6.97,89,308,371,327,23,39,22,5,0,994,112,341,814,328,837,1140,21,0,3,11,114,761,179,128,761,179,38,40,41,39.21,2.71,11,604,215,83,157,75,1090,813,343,1050,58,0,92,147,215,301,118,19,32,21,0,109,1063,1,45,8,48,596,569,22,5,0,994,112,46,970,105,3020,3400,3700,3354.89,540.97,41,754,167,18,1039,9.6,0.96,4,1151,169,0,0,28,141,8,17,31,19,66,96,73,13,0,24,20,4,11,0,2,0,0,18,3,1,0,1,0,0,0,1,1,0,1,0,0,0,0,13329,NA,144.11,4.35,85.84,12.37,12.37,20.6,17.17,3.43,30.04
2015,"MUNICIPIO","1200708",17608,16091,8317,7774,5417,8249,2425,2676,3967,1131,NA,0.599,NA,NA,322,0,201,6,95,94,56,43,20,8,0,0,316,19,22,29,23.93,6.71,14,69,112,94,11,14,17,6,1,261,0,110,170,97,225,314,3,0,2,4,33,247,25,39,247,25,38,39,40,38.77,2.62,2,82,22,18,134,168,154,231,91,259,9,0,60,5,135,3,23,3,6,3,0,27,316,0,6,0,0,183,139,17,6,1,261,0,16,278,23,3000,3300,3650,3296.77,534.24,17,244,38,5,301,8.89,1.07,4,271,68,0,0,5,63,1,10,25,7,20,43,25,4,0,3,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8854,NA,81.17,3.86,0,0,0,9.32,9.32,0,12.42
2015,"MUNICIPIO","1200807",16757,14880,7845,7035,5170,7448,2262,2433,3622,980,NA,0.576,NA,NA,358,0,134,4,108,86,72,55,28,4,1,0,354,18,23,29,24.35,6.72,12,51,153,112,16,9,16,11,1,262,0,51,300,99,259,354,3,0,0,1,42,288,10,43,288,10,38,39,40,38.75,2.05,2,91,27,26,108,357,1,215,143,246,10,0,56,8,99,22,26,3,7,3,0,23,357,0,1,0,0,179,179,16,11,1,262,0,25,309,24,2967.5,3279,3625,3260.8,529.5,20,265,49,3,339,9.12,0.82,7,221,67,0,0,9,58,3,11,11,6,27,44,23,3,0,4,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3582,NA,98.84,4,0,0,0,11.17,11.17,0,13.97
